Bal,Brick,Distance,District,Floor,Kitsp,Livesp,Metrdist,N,New,Nfloors,Price,Rooms,Tel,Totsp,Walk
1.0,1.0,5.629400007042847,CAD,1,7.0,30.0,11.0,159,0,14.0,9700000,2,,50.0,1.0
1.0,0.0,3.493795602003,CAD,3,6.0,32.0,11.0,160,0,17.0,9700000,2,1.0,38.0,1.0
2.0,0.0,3.4994132002856126,CAD,2,7.4,29.0,7.0,161,0,12.0,9700000,2,1.0,47.4,1.0
1.0,1.0,6.083966954668788,CAD,6,5.5,42.0,8.0,162,0,9.0,9700000,3,1.0,58.0,1.0
1.0,1.0,4.506559522761182,CAD,5,14.0,19.0,7.0,163,0,7.0,9700000,1,0.0,36.4,1.0
,1.0,3.104784336033066,CAD,1,5.5,34.0,7.0,164,0,5.0,9700000,2,1.0,43.0,1.0
0.0,,4.053447401245967,CAD,5,,42.0,6.0,165,1,,9746690,1,,42.0,1.0
1.0,0.0,2.316011581243173,CAD,12,10.0,19.0,8.0,166,0,16.0,9750000,1,,37.9,1.0
,1.0,4.053447401245967,CAD,2,,0.0,9.0,167,1,6.0,9769141,1,,44.5,1.0
,,5.012951372747482,CAD,35,,150.0,1.0,168,0,76.0,96044894,3,0.0,186.0,1.0
,1.0,2.346105469918024,CAD,11,,78.0,3.0,169,1,12.0,91681800,3,,105.2,1.0
1.0,,5.28243496125344,CAD,2,9.0,64.5,15.0,170,0,5.0,13950000,4,1.0,88.0,1.0
0.0,,4.053447401245967,CAD,2,,44.5,6.0,171,1,,9769141,1,,44.5,1.0
1.0,0.0,4.117905294116822,CAD,6,11.6,28.2,5.0,172,0,12.0,9800000,2,,50.0,1.0
1.0,0.0,2.489287138813609,CAD,10,7.0,35.0,4.0,173,0,12.0,9800000,2,1.0,46.0,1.0
0.0,,4.053447401245967,CAD,1,,45.9,6.0,174,1,,9865843,1,,45.9,1.0
0.0,1.0,4.0756791096963285,CAD,3,,59.1,5.0,175,0,6.0,9886025,3,0.0,59.1,1.0
1.0,1.0,3.0331446631736267,CAD,10,9.1,19.5,3.0,176,0,14.0,9900000,1,,38.0,1.0
1.0,1.0,2.3723890747126033,CAD,1,7.0,32.0,15.0,177,0,9.0,9900000,2,1.0,44.6,1.0
1.0,1.0,3.4330182816780135,CAD,4,5.5,28.6,10.0,178,0,5.0,9900000,2,1.0,42.6,1.0
1.0,1.0,3.437758608707501,CAD,7,6.5,28.3,6.0,179,0,8.0,9900000,2,1.0,43.0,1.0
,1.0,2.8490359361373216,CAD,1,6.1,25.1,11.0,180,0,8.0,9900000,2,,41.0,1.0
1.0,1.0,3.4203908116085335,CAD,9,5.1,28.2,3.0,181,0,9.0,9900000,2,1.0,41.5,1.0
0.0,,4.053447401245967,CAD,1,,46.2,6.0,182,1,,9930382,1,,46.2,1.0
0.0,1.0,4.098313006603268,CAD,1,,46.2,5.0,183,0,6.0,9939006,2,0.0,46.2,1.0
,1.0,2.807584396054931,CAD,1,5.0,27.0,10.0,184,0,8.0,9950000,2,,40.0,1.0
0.0,1.0,4.098313006603268,CAD,5,,46.2,5.0,185,0,6.0,9963815,2,0.0,46.2,1.0
1.0,0.0,4.9708016581030945,CAD,7,6.0,30.0,10.0,186,0,9.0,9990000,2,1.0,46.0,1.0
1.0,0.0,2.6993274471252353,CAD,5,10.0,20.0,12.0,187,0,8.0,9990000,1,0.0,35.0,1.0
1.0,0.0,4.547682723957366,CAD,14,6.0,24.0,6.0,188,0,14.0,10000000,2,,39.0,1.0
1.0,0.0,5.9303906707288245,CAD,9,10.0,20.0,10.0,189,0,12.0,9999999,1,1.0,35.1,1.0
1.0,,4.370253528396564,CAD,5,9.8,18.6,7.0,190,0,17.0,10000000,1,1.0,38.5,1.0
1.0,0.0,3.5227029355739594,CAD,8,8.0,23.0,4.0,191,0,9.0,10000000,2,,38.0,1.0
1.0,0.0,5.009489117573686,CAD,3,6.0,28.0,12.0,192,0,12.0,10000000,2,1.0,40.0,1.0
1.0,0.0,4.178402887291533,CAD,7,9.0,32.0,14.0,193,0,14.0,10000000,2,1.0,48.0,1.0
1.0,0.0,3.203072259314587,CAD,4,6.0,23.0,11.0,194,0,14.0,10000000,2,1.0,38.0,1.0
,0.0,4.478924264418566,CAD,2,9.7,19.9,7.0,195,0,12.0,10000000,1,1.0,34.8,1.0
0.0,1.0,1.90204138395336,CAD,3,22.7,104.2,5.0,196,1,6.0,140670000,2,,104.2,0.0
1.0,,3.4231846262680574,CAD,4,13.4,110.0,13.0,197,0,6.0,35000000,5,,155.0,1.0
2.0,1.0,2.346105469918024,CAD,12,16.0,80.9,3.0,198,1,12.0,177450000,2,,129.0,1.0
1.0,,4.8253343048522845,CAD,5,6.0,28.0,9.0,199,0,9.0,10000000,2,0.0,43.0,1.0
1.0,0.0,2.561433234980412,CAD,8,11.0,28.0,5.0,200,0,16.0,10029600,2,,50.0,1.0
0.0,,4.053447401245967,CAD,4,,44.1,6.0,201,1,,10056458,1,,44.1,1.0
1.0,1.0,2.3723890747126033,CAD,1,7.0,32.0,11.0,202,0,9.0,10100000,2,1.0,44.6,1.0
1.0,1.0,2.3723890747126033,CAD,1,7.0,32.0,10.0,203,0,9.0,10100000,2,1.0,44.6,1.0
,,3.6817983519207833,CAD,20,,48.4,7.0,204,0,44.0,10200000,1,,48.4,1.0
1.0,1.0,2.9751137710557725,CAD,6,10.0,18.0,5.0,205,0,9.0,10250000,1,0.0,37.0,1.0
,1.0,3.6073827540268217,CAD,2,8.0,15.1,5.0,206,0,14.0,10290000,1,1.0,30.1,1.0
1.0,0.0,4.346056488332603,CAD,2,7.0,29.0,7.0,207,0,12.0,10300000,2,1.0,45.0,1.0
1.0,0.0,3.692223688295181,CAD,4,7.0,26.0,9.0,208,0,12.0,10300000,2,1.0,39.0,0.0
