0,1,2,3,4,5,6,7,8,9,10,11,Distr,12,13,14
,0.0,18.875400870899643,2.0,10.0,46.0,5.0,0.0,12.0,9900000.0,3.0,,NW,75.0,1.0,149786462.0
2.0,1.0,18.43523580660051,8.0,15.0,26.2,2.0,0.0,9.0,13200000.0,2.0,,NW,66.0,0.0,152102280.0
1.0,1.0,15.076149665489734,3.0,12.0,18.0,10.0,0.0,12.0,6250000.0,1.0,0.0,NW,40.1,1.0,151504059.0
,0.0,14.919304499744491,2.0,6.5,39.0,14.0,0.0,9.0,7300000.0,3.0,,NW,57.0,1.0,152156817.0
,,12.548774444471393,2.0,40.0,150.0,15.0,0.0,6.0,117266098.0,4.0,,NW,194.0,0.0,149890542.0
,1.0,14.1049168031737,1.0,5.1,18.2,3.0,0.0,5.0,4700000.0,1.0,1.0,NW,33.0,1.0,152124853.0
1.0,0.0,13.523091540493493,2.0,7.0,18.0,15.0,0.0,5.0,5650000.0,1.0,1.0,NW,33.0,1.0,149769695.0
,0.0,12.156249874696345,1.0,6.0,29.0,12.0,0.0,5.0,5800000.0,2.0,1.0,NW,45.0,1.0,151923653.0
1.0,1.0,12.773022413246133,4.0,6.0,18.4,10.0,0.0,5.0,5900000.0,1.0,1.0,NW,30.0,1.0,37542790.0
1.0,1.0,13.140319382073974,5.0,6.0,32.0,7.0,0.0,5.0,5950000.0,2.0,1.0,NW,46.0,1.0,147725152.0
1.0,1.0,13.756602819853427,5.0,6.0,28.5,2.0,0.0,5.0,6000000.0,2.0,1.0,NW,43.6,1.0,36033198.0
1.0,1.0,12.773022413246133,4.0,6.0,26.0,14.0,0.0,5.0,6300000.0,2.0,,NW,41.3,1.0,151361107.0
1.0,1.0,11.643415767011096,3.0,5.9,20.6,5.0,0.0,9.0,6300000.0,2.0,,NW,34.4,1.0,151198080.0
1.0,1.0,13.797340717740205,5.0,,24.0,4.0,1.0,19.0,6486000.0,1.0,,NW,39.6,1.0,151821169.0
1.0,1.0,11.855962358093741,6.0,8.0,19.0,10.0,0.0,14.0,6700000.0,1.0,1.0,NW,37.0,1.0,148982681.0
1.0,0.0,14.363431462137408,9.0,10.0,19.0,10.0,0.0,14.0,6800000.0,1.0,1.0,NW,35.0,1.0,151317787.0
1.0,1.0,13.790273050863762,4.0,9.0,24.0,2.0,0.0,5.0,6990000.0,1.0,1.0,NW,50.0,1.0,151586505.0
1.0,1.0,13.796306277050073,2.0,10.3,17.0,5.0,1.0,19.0,7004830.0,1.0,,NW,40.8,1.0,138065306.0
1.0,1.0,11.692790619184393,13.0,8.2,18.8,10.0,0.0,14.0,7100000.0,1.0,1.0,NW,40.0,1.0,150657921.0
1.0,1.0,12.091197429505383,4.0,6.0,27.0,15.0,0.0,5.0,7150000.0,2.0,1.0,NW,42.0,1.0,151022686.0
1.0,1.0,12.773022413246133,2.0,6.0,42.0,10.0,0.0,5.0,7200000.0,3.0,1.0,NW,56.0,1.0,33379594.0
1.0,1.0,13.797340717740205,9.0,10.0,19.0,4.0,1.0,19.0,7300000.0,1.0,,NW,39.7,1.0,151161541.0
1.0,1.0,13.796306277050073,9.0,9.6,18.6,5.0,1.0,13.0,7416000.0,1.0,,NW,40.1,1.0,151439474.0
1.0,1.0,13.796306277050073,6.0,9.6,18.6,5.0,1.0,19.0,7495475.0,1.0,,NW,39.8,1.0,149309765.0
1.0,1.0,13.796306277050073,2.0,9.6,18.6,5.0,1.0,19.0,7558913.0,1.0,,NW,40.9,1.0,29651740.0
1.0,1.0,13.796306277050073,10.0,9.6,18.6,5.0,1.0,19.0,7632551.0,1.0,,NW,39.9,1.0,149580887.0
1.0,1.0,12.889214564180612,6.0,10.5,20.0,19.0,0.0,14.0,7700000.0,1.0,,NW,39.0,1.0,151876705.0
