Distance,Floor,Kitsp,Livsp,New,Nfloors,Price,Rooms,Totsp,Metrokm,Bal_0.0,Bal_1.0,Bal_2.0,Bal_3.0,Bal_4.0,Bal_na,Brick_0.0,Brick_1.0,Brick_na,Distr_C,Distr_E,Distr_N,Distr_NE,Distr_NW,Distr_S,Distr_SE,Distr_SW,Distr_W
19.207966723978146,4.0,8.26713865566433,23.521317455042528,1.0,25.0,4785268.0,1.0,40.4,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,23.0,8.217894293558544,23.18415365741705,1.0,25.0,4797679.0,1.0,39.9,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,23.0,8.2966852729278,23.72361573361782,1.0,25.0,4820776.0,1.0,40.7,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,3.0,8.247440910822014,23.38645193599234,1.0,25.0,4837399.0,1.0,40.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,4.0,8.247440910822014,23.38645193599234,1.0,25.0,4839089.0,1.0,40.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,4.0,8.257289783243172,23.45388469551743,1.0,25.0,4853534.0,1.0,40.3,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,8.0,8.26713865566433,23.521317455042528,1.0,25.0,4865898.0,1.0,40.4,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,3.0,8.247440910822014,23.38645193599234,1.0,25.0,4873056.0,1.0,40.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,19.0,8.2966852729278,23.72361573361782,1.0,25.0,4904092.0,1.0,40.7,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,3.0,8.237592038400859,23.319019176467243,1.0,25.0,4949063.0,1.0,40.1,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,13.0,8.286836400506642,23.656182974092722,1.0,25.0,5010505.0,1.0,40.6,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,7.0,8.19819654871623,23.049288138366858,1.0,25.0,5018223.0,1.0,39.7,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,21.0,8.158801059031601,22.779557100266473,1.0,24.0,5093778.0,1.0,39.3,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19.207966723978146,10.0,8.276987528085485,23.588750214567625,1.0,25.0,5156362.0,1.0,40.5,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.207966723978146,17.0,8.217894293558544,23.18415365741705,1.0,24.0,5171545.0,1.0,39.9,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
18.057784949278,7.0,6.99663411333508,22.0,0.0,25.0,5300000.0,1.0,27.5,0.7333333333333333,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
18.057784949278,8.0,5.0,20.0,1.0,22.0,5300000.0,1.0,27.0,0.7333333333333333,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
19.57267137591472,6.0,8.5,19.0,0.0,17.0,6650000.0,1.0,38.0,0.6666666666666666,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18.060358166150433,4.0,5.0,20.0,1.0,25.0,5141000.0,1.0,28.0,0.7333333333333333,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
19.499772307698226,20.0,10.5,46.0,0.0,22.0,14800000.0,3.0,80.0,0.4666666666666667,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18.307200529381696,6.0,11.773337237596206,38.0,0.0,25.0,10500000.0,2.0,76.0,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17.634582702340463,23.0,11.2,20.4,0.0,25.0,9500000.0,1.0,50.2,0.4666666666666667,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
17.75388948792224,19.0,14.6,62.9,0.0,20.0,18900000.0,3.0,107.8,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
18.345553380493254,23.0,12.0,18.0,1.0,25.0,7650000.0,1.0,42.7,0.6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
18.265528092659377,2.0,13.0,33.5,1.0,25.0,10350000.0,2.0,65.0,0.6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19.207966723978146,2.0,9.508096580730104,32.0178451552046,1.0,25.0,5944538.0,2.0,53.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
17.75388948792224,8.0,12.9,22.7,0.0,20.0,8600000.0,1.0,51.5,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20.462149430878046,2.0,8.5,25.0,0.0,4.0,2407000.0,2.0,45.9,0.8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19.81941073487161,1.0,12.0,66.3,0.0,16.0,15900000.0,4.0,107.0,0.6666666666666666,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
20.462149430878046,3.0,11.0,12.0,0.0,4.0,1717000.0,1.0,30.7,0.6,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18.965237093965907,13.0,8.0,18.0,0.0,17.0,6850000.0,1.0,38.0,0.06666666666666667,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
17.655347214822058,20.0,16.0,44.0,0.0,25.0,15000000.0,2.0,88.0,0.4666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19.207966723978146,2.0,7.843637141554579,20.62170879546341,1.0,25.0,4167491.0,1.0,36.1,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.172281228666503,4.0,9.0,18.0,0.0,22.0,6400000.0,1.0,46.0,5.833333333333334,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
17.05124372616934,16.0,10.0,34.0,0.0,17.0,10400000.0,2.0,60.0,0.4666666666666667,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18.265528092659377,12.0,12.5,31.0,1.0,25.0,9250000.0,2.0,61.0,0.5333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19.12668189047416,9.0,10.0,23.0,0.0,17.0,6700000.0,1.0,40.0,7.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18.875400870899643,1.0,10.4,46.0,0.0,17.0,9900000.0,3.0,73.5,0.3333333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
18.307200529381696,6.0,8.42472061440284,20.0,0.0,25.0,7000000.0,1.0,42.0,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20.462149430878046,2.0,9.0,35.0,0.0,4.0,3000000.0,3.0,58.0,0.6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19.147987829882744,5.0,10.1,46.0,0.0,17.0,10500000.0,3.0,74.8,0.4666666666666667,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20.24718355088984,12.0,10.0,45.0,0.0,17.0,11000000.0,3.0,75.0,0.4666666666666667,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18.875400870899643,2.0,10.0,46.0,0.0,12.0,9900000.0,3.0,75.0,0.3333333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
18.43523580660051,8.0,15.0,26.2,0.0,9.0,13200000.0,2.0,66.0,1.6666666666666667,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
15.076149665489734,3.0,12.0,18.0,0.0,12.0,6250000.0,1.0,40.1,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
14.919304499744491,2.0,6.5,39.0,0.0,9.0,7300000.0,3.0,57.0,0.9333333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
12.548774444471393,2.0,40.0,150.0,0.0,6.0,117266098.0,4.0,194.0,12.5,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
14.1049168031737,1.0,5.1,18.2,0.0,5.0,4700000.0,1.0,33.0,0.2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
13.523091540493493,2.0,7.0,18.0,0.0,5.0,5650000.0,1.0,33.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12.156249874696345,1.0,6.0,29.0,0.0,5.0,5800000.0,2.0,45.0,0.8,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
12.773022413246133,4.0,6.0,18.4,0.0,5.0,5900000.0,1.0,30.0,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13.140319382073974,5.0,6.0,32.0,0.0,5.0,5950000.0,2.0,46.0,0.4666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13.756602819853427,5.0,6.0,28.5,0.0,5.0,6000000.0,2.0,43.6,0.13333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12.773022413246133,4.0,6.0,26.0,0.0,5.0,6300000.0,2.0,41.3,0.9333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11.643415767011096,3.0,5.9,20.6,0.0,9.0,6300000.0,2.0,34.4,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13.797340717740205,5.0,8.188347676295074,24.0,1.0,19.0,6486000.0,1.0,39.6,0.26666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11.855962358093741,6.0,8.0,19.0,0.0,14.0,6700000.0,1.0,37.0,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
14.363431462137408,9.0,10.0,19.0,0.0,14.0,6800000.0,1.0,35.0,0.6666666666666666,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
13.790273050863762,4.0,9.0,24.0,0.0,5.0,6990000.0,1.0,50.0,0.13333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13.796306277050073,2.0,10.3,17.0,1.0,19.0,7004830.0,1.0,40.8,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11.692790619184391,13.0,8.2,18.8,0.0,14.0,7100000.0,1.0,40.0,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12.091197429505383,4.0,6.0,27.0,0.0,5.0,7150000.0,2.0,42.0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12.773022413246133,2.0,6.0,42.0,0.0,5.0,7200000.0,3.0,56.0,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13.797340717740205,9.0,10.0,19.0,1.0,19.0,7300000.0,1.0,39.7,0.26666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13.796306277050073,9.0,9.6,18.6,1.0,13.0,7416000.0,1.0,40.1,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13.796306277050073,6.0,9.6,18.6,1.0,19.0,7495475.0,1.0,39.8,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13.796306277050073,2.0,9.6,18.6,1.0,19.0,7558913.0,1.0,40.9,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13.796306277050073,10.0,9.6,18.6,1.0,19.0,7632551.0,1.0,39.9,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12.889214564180612,6.0,10.5,20.0,0.0,14.0,7700000.0,1.0,39.0,1.2666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13.796306277050073,10.0,9.6,18.6,1.0,13.0,7784340.0,1.0,40.0,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11.819643149588936,3.0,6.0,29.0,0.0,9.0,7800000.0,2.0,44.0,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13.796306277050073,11.0,10.3,17.0,1.0,13.0,7998285.0,1.0,39.9,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13.796306277050073,3.0,12.5,30.7,1.0,19.0,10273237.0,2.0,61.5,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
11.861310791766856,3.0,21.0,127.0,0.0,24.0,58000000.0,4.0,148.0,1.6666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13.330659034157586,7.0,11.0,19.0,1.0,14.0,9880570.0,1.0,43.7,0.7333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
15.234891945534846,5.0,8.0,18.0,0.0,9.0,3040000.0,1.0,37.5,1.5333333333333332,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
14.180456446188574,3.0,11.0,35.0,0.0,5.0,4635000.0,2.0,71.0,0.5333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13.796306277050073,2.0,10.3,17.0,1.0,19.0,6805318.0,1.0,40.8,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13.263553187860815,9.0,9.5,44.4,0.0,14.0,9000000.0,3.0,64.6,4.166666666666667,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11.147170811660619,1.0,30.0,120.0,0.0,2.0,72000000.0,3.0,170.0,0.9333333333333333,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
14.333009091601696,4.0,10.0,42.0,0.0,5.0,6600000.0,3.0,77.3,0.6666666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
14.442813484758284,11.0,8.7,28.6,0.0,14.0,7725000.0,2.0,48.2,0.3333333333333333,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12.889214564180612,10.0,10.0,49.0,0.0,14.0,17000000.0,3.0,77.7,1.2666666666666666,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
11.147170811660619,2.0,30.0,50.0,0.0,2.0,34000000.0,2.0,80.0,1.3333333333333333,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
13.796306277050073,3.0,12.5,30.7,1.0,13.0,10273237.0,2.0,61.5,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12.021306552990108,16.0,16.303818551328405,97.0,0.0,25.0,49092442.0,3.0,122.0,4.166666666666667,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
13.796306277050073,2.0,10.3,17.0,1.0,19.0,6805318.0,1.0,40.8,0.3333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16.648150065930448,4.0,13.0,58.0,0.0,5.0,38000000.0,3.0,135.0,0.5333333333333333,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16.806516315418573,8.0,10.0,20.0,0.0,12.0,6300000.0,1.0,36.0,8.333333333333334,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15.818931392272189,8.0,6.2,40.0,0.0,12.0,9650000.0,3.0,61.0,0.4666666666666667,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
